word,meaning,option1,option2,option3,Ginger,River,Sigma
MONDAY,星期一,星期二,星期三,星期日,-1,0,0
TUESDAY,星期二,星期一,星期三,星期四,0,0,0
WEDNESDAY,星期三,星期二,星期四,星期五,0,0,0
THURSDAY,星期四,星期三,星期五,星期六,0,0,0
FRIDAY,星期五,星期四,星期六,星期日,0,0,0
SATURDAY,星期六,星期五,星期日,星期一,0,0,0
SUNDAY,星期日,星期六,星期一,星期五,2,0,0
JANUARY,一月,二月,三月,十二月,0,0,0
FEBRUARY,二月,一月,三月,四月,0,0,0
MARCH,三月,二月,四月,五月,1,0,0
APRIL,四月,三月,五月,六月,1,0,0
MAY,五月,四月,六月,七月,0,0,0
JUNE,六月,五月,七月,八月,-1,0,0
JULY,七月,六月,八月,九月,1,0,0
AUGUST,八月,七月,九月,十月,0,0,0
SEPTEMBER,九月,八月,十月,十一月,0,0,0
OCTOBER,十月,九月,十一月,十二月,0,0,0
NOVEMBER,十一月,十月,十二月,一月,0,0,0
DECEMBER,十二月,十一月,一月,二月,0,0,0
MORNING,早上,中午,下午,晚上,1,0,0
AFTERNOON,下午,早上,晚上,夜晚,0,0,0
EVENING,傍晚,下午,夜晚,清晨,0,0,0
NIGHT,晚上,傍晚,午夜,清晨,1,0,0
TODAY,今天,昨天,明天,現在,1,0,0
TOMORROW,明天,今天,昨天,後天,0,0,0
YESTERDAY,昨天,今天,明天,前天,0,0,0
WEEK,星期,月,年,日,0,0,0
MONTH,月份,星期,年,季,2,0,0
YEAR,年,月,季,世紀,2,0,0
DAY,日子,夜晚,星期,月份,1,0,0
HOUR,小時,分鐘,秒,天,2,0,0
MINUTE,分鐘,小時,秒,刻,0,0,0
SECOND,第二/秒,第一,第三,分鐘,0,0,0
